date,account_id,campaign_name,adset_name,ad_name,ids,objective,is_prospecting,spend_bdt,impressions,clicks_all,ctr_all,cpm_bdt,frequency,conversations,cost_per_conversation_bdt
2025-09-03,,,,,,,False,5185.099999999999,126154,,2.5706676,,1.69509426,399.0,12.9952381
2025-09-03,,SINOPEC_MCO_COLD_ENGAGEMENT,All,All,,,True,1803.1000000000001,46474,,2.58854413,,1.41026886,139.0,12.971942199999999
2025-09-03,,SINOPEC_MCO_COLD_ENGAGEMENT,MCO_COLD_BROAD,All,,,True,1803.1000000000001,46474,,2.58854413,,1.41026886,139.0,12.971942199999999
2025-09-03,,SINOPEC_MCO_COLD_ENGAGEMENT,MCO_COLD_BROAD,MCO_BIKE_V2,,,True,1575.1,40812,,2.63402921,,1.38369215,122.0,12.910655799999999
2025-09-03,,SINOPEC_MCO_COLD_ENGAGEMENT,MCO_COLD_BROAD,MCO_ENGINE_V1,,,True,173.85,5064,,2.11295419,,1.10398954,15.0,11.59
2025-09-03,,SINOPEC_MCO_COLD_ENGAGEMENT,MCO_COLD_BROAD,Free Delivery - Copy 2,,,True,52.25000000000001,571,,3.50262697,,1.12623274,2.0,26.125000000000004
2025-09-03,,SINOPEC_MCO_COLD_ENGAGEMENT,MCO_COLD_BROAD,MCO_BIKE_SILHOUETTE,,,True,1.9000000000000001,27,,3.7037037,,1.0,,
2025-09-03,,SINOPEC_PCMO_COLD_SALES,All,All,,,True,1744.2,25530,,2.4951038,,1.6689547,58.0,30.0724134
2025-09-03,,SINOPEC_PCMO_COLD_SALES,PCMO_COLD_OLD_AUDIENCE,All,,,True,1744.2,25530,,2.4951038,,1.6689547,58.0,30.0724134
2025-09-03,,SINOPEC_PCMO_COLD_SALES,PCMO_COLD_OLD_AUDIENCE,PCMO_BOTTLE_V1,,,True,1454.45,21386,,2.43149724,,1.55421512,48.0,30.301041350000002
2025-09-03,,SINOPEC_PCMO_COLD_SALES,PCMO_COLD_OLD_AUDIENCE,PCMO_CARV1,,,True,289.75,4144,,2.82335907,,1.34240363,10.0,28.974999999999998
2025-09-03,,SINOPEC_MCO_COLD_SALES,All,All,,,True,1637.8,54150,,2.59095106,,1.32040966,202.0,8.10792035
2025-09-03,,SINOPEC_MCO_COLD_SALES,MCO_COLD_BROAD,All,,,True,1637.8,54150,,2.59095106,,1.32040966,202.0,8.10792035
2025-09-03,,SINOPEC_MCO_COLD_SALES,MCO_COLD_BROAD,MCO_ENGINE_V1,,,True,1339.5,47289,,2.62005963,,1.28126693,174.0,7.6982756000000006
2025-09-03,,SINOPEC_MCO_COLD_SALES,MCO_COLD_BROAD,MCO_FREEDEL_V1,,,True,160.54999999999998,2161,,3.33179084,,1.25275362,7.0,22.935714150000003
2025-09-03,,SINOPEC_MCO_COLD_SALES,MCO_COLD_BROAD,MCO_BIKE_SILHOUETTE,,,True,137.75,4662,,1.95195195,,1.18234847,21.0,6.5595239
2025-09-03,,SINOPEC_MCO_COLD_SALES,MCO_COLD_BROAD,MCO_BIKE_V2,,,True,0.0,38,,2.63157895,,1.05555556,,
